"コード","銘柄名","市場","現在値","前日比(%)"
"3923","ラクス","東P","1661.0","+23.0(+1.40%)"
"3924","ランドコンピュータ","東P","800","-9.0(-1.11%)"
"3925","ダブルスタンダード","東P","1748","-28.0(-1.58%)"
"3926","オープンドア","東P","755","+1.0(+0.13%)"
"3927","フーバーブレイン","東G","639","-9.0(-1.39%)"
"3928","マイネット","東S","333","-2.0(-0.60%)"
"3929","ソーシャルワイヤー","東G","257","+1.0(+0.39%)"
"3930","はてな","東G","743","+5.0(+0.68%)"
"3931","バリューゴルフ","東G","1021","+3.0(+0.29%)"
"3932","アカツキ","東P","2362","-61.0(-2.52%)"
"3933","チエル","東S","629","+0.0(+0.00%)"
"3934","ベネフィットジャパン","東S","1240","-5.0(-0.40%)"
"3935","エディア","東G","365","-5.0(-1.35%)"
"3936","グローバルウェイ","東G","143","-4.0(-2.72%)"
"3937","Ｕｂｉｃｏｍ　ＨＬＤＧ","東P","1153","-32.0(-2.70%)"
"3939","カナミックネットワーク","東P","502","-5.0(-0.99%)"
"3940","ノムラシステムコーポレーション","東S","123","+0.0(+0.00%)"
"3941","レンゴー","東P","1160.5","-39.5(-3.29%)"
"3943","大石産業","東S","2133","-27.0(-1.25%)"
"3944","古林紙工","東S","2052","-13.0(-0.63%)"
"3945","スーパーバッグ","東S","2390","-68.0(-2.77%)"
"3946","トーモク","東P","2598","-60.0(-2.26%)"
"3947","ダイナパック","東S","1750","-11.0(-0.62%)"
"3948","光ビジネスフォーム","東S","890","+0.0(+0.00%)"
"3950","ザ・パック","東P","3670","-95.0(-2.52%)"
"3951","朝日印刷","東S","926","+0.0(+0.00%)"
"3953","大村紙業","東S","771","+0.0(+0.00%)"
"3954","昭和パックス","東S","1900","+27.0(+1.44%)"
"3955","イムラ","東S","1097","-3.0(-0.27%)"
"3958","笹徳印刷","東S","604","-2.0(-0.33%)"
"3961","シルバーエッグ・テクノロジー","東G","976","+0.0(+0.00%)"
"3962","チェンジＨＬＤＧ","東P","1152","-14.0(-1.20%)"
"3963","シンクロ・フード","東P","559","+3.0(+0.54%)"
"3964","オークネット","東P","2622","+57.0(+2.22%)"
"3965","キャピタル・アセット・プランニ","東S","794","+2.0(+0.25%)"
"3967","エルテス","東G","786","-14.0(-1.75%)"
"3968","セグエグループ","東P","529","-3.0(-0.56%)"
"3969","エイトレッド","東S","1386","-14.0(-1.00%)"
"3970","イノベーション","東G","1233","-16.0(-1.28%)"
"3974","ＳＣＡＴ","東S","481","-4.0(-0.82%)"
"3976","シャノン","東G","442","-23.0(-4.95%)"
"3978","マクロミル","東P","737","-22.0(-2.90%)"
"3979","うるる","東G","1503","+32.0(+2.18%)"
"3981","ビーグリー","東S","1106","-27.0(-2.38%)"
"3983","オロ","東P","2639","-80.0(-2.94%)"
"3984","ユーザーローカル","東P","2103","-42.0(-1.96%)"
"3985","テモナ","東S","247","+0.0(+0.00%)"
"3986","ビーブレイクシステムズ","東G","1504","-50.0(-3.22%)"
"3987","エコモット","東G","468","-60.0(-11.36%)"
"3988","ＳＹＳ　ＨＬＤＧ","東S","1227","-33.0(-2.62%)"
"3989","シェアリングテクノロジー","東G","563","-2.0(-0.35%)"
"3990","ＵＵＵＭ","東G","384","-15.0(-3.76%)"
"3991","ウォンテッドリー","東G","1199","-18.0(-1.48%)"
"3992","ニーズウェル","東P","865","-21.0(-2.37%)"
"3993","ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇ","東S","4610","-155.0(-3.25%)"
"3994","マネーフォワード","東P","5636.0","+141.0(+2.57%)"
"3996","サインポスト","東S","777","-58.0(-6.95%)"
"3997","トレードワークス","東S","813","-20.0(-2.40%)"
"3998","すららネット","東G","405","-13.0(-3.11%)"
"4004","レゾナック・ＨＬＤＧ","東P","3519.0","-229.0(-6.11%)"
"4005","住友化学","東P","346.1","-8.9(-2.51%)"
"4008","住友精化","東P","4990","-90.0(-1.77%)"
"4011","ヘッドウォータース","東G","12240","-230.0(-1.84%)"
"4012","アクシス","東S","1466","-17.0(-1.15%)"
"4013","勤次郎","東G","850","-25.0(-2.86%)"
"4014","カラダノート","東G","493","-12.0(-2.38%)"
"4015","ペイクラウドＨＬＤＧ","東G","353","-24.0(-6.37%)"
"4016","ＭＩＴ　ＨＬＤＧ","東S","696","+0.0(+0.00%)"
"4017","クリーマ","東G","398","+8.0(+2.05%)"
"4019","スタメン","東G","670","+41.0(+6.52%)"
"4020","ビートレンド","東G","738","+1.0(+0.14%)"
"4021","日産化学","東P","5470.0","-5.0(-0.09%)"
"4022","ラサ工業","東P","2732","-104.0(-3.67%)"
"4023","クレハ","東P","2701","-12.0(-0.44%)"
"4025","多木化学","東P","3590","-165.0(-4.39%)"
"4026","神島化学工業","東S","1602","-29.0(-1.78%)"
"4027","テイカ","東P","1429","-98.0(-6.42%)"
"4028","石原産業","東P","1779","-55.0(-3.00%)"
"4031","片倉コープアグリ","東S","1093","-17.0(-1.53%)"
"4040","南海化学","東S","4515","-90.0(-1.95%)"
"4041","日本曹達","東P","5850","-130.0(-2.17%)"
"4042","東ソー","東P","2130.5","-47.5(-2.18%)"
"4043","トクヤマ","東P","2841.5","-59.5(-2.05%)"
"4044","セントラル硝子","東P","2771","-59.0(-2.08%)"
"4045","東亞合成","東P","1608.0","-45.5(-2.75%)"
"4046","大阪ソーダ","東P","8940","-210.0(-2.30%)"
"4047","関東電化工業","東P","971","-22.0(-2.22%)"
"4051","ＧＭＯ　フィナンシャルゲート","東G","8480","+300.0(+3.67%)"
"4052","フィーチャ","東G","781","-15.0(-1.88%)"
"4053","Ｓｕｎ　Ａｓｔｅｒｉｓｋ","東P","893","+1.0(+0.11%)"
"4054","日本情報クリエイト","東G","604","-16.0(-2.58%)"
"4055","ティアンドエス","東G","1868","+81.0(+4.53%)"
"4056","ニューラルグループ","東G","999","-14.0(-1.38%)"
"4057","インターファクトリー","東G","503","-4.0(-0.79%)"
"4058","トヨクモ","東G","1473","-46.0(-3.03%)"
"4059","まぐまぐ","東S","597","-16.0(-2.61%)"
"4060","ｒａｋｕｍｏ","東G","1011","-61.0(-5.69%)"
"4061","デンカ","東P","2319.0","-29.0(-1.24%)"
"4062","イビデン","東P","6014.0","-3.0(-0.05%)"
"4063","信越化学工業","東P","6310.0","-233.0(-3.56%)"
"4064","日本カーバイド工業","東P","1797","-61.0(-3.28%)"
"4068","ベイシス","東G","-","- (-%)"
"4069","ＢｌｕｅＭｅｍｅ","東G","1235","-22.0(-1.75%)"
"4071","プラスアルファコンサルティング","東P","2128","-35.0(-1.62%)"
"4072","電算システムＨＬＤＧ","東P","2712","-56.0(-2.02%)"
"4073","ジィ・シィ企画","東G","688","-2.0(-0.29%)"
"4074","ラキール","東G","1591","-34.0(-2.09%)"
"4075","ブレインズテクノロジー","東G","823","+10.0(+1.23%)"
"4076","シイエヌエス","東G","1758","-4.0(-0.23%)"
"4078","堺化学工業","東P","2021","-48.0(-2.32%)"
"4080","田中化学研究所","東S","949","-37.0(-3.75%)"
"4082","第一稀元素化学工業","東P","952","-15.0(-1.55%)"
"4088","エア・ウォーター","東P","2333.0","-31.0(-1.31%)"
"4091","日本酸素ＨＤ","東P","4406.0","-93.0(-2.07%)"
"4092","日本化学工業","東P","2468","-82.0(-3.22%)"
"4093","東邦アセチレン","東P","362","-10.0(-2.69%)"
"4094","日本化学産業","東S","1417","-6.0(-0.42%)"
"4095","日本パーカライジング","東P","1201","-34.0(-2.75%)"
"4097","高圧ガス工業","東P","857","-28.0(-3.16%)"
"4098","チタン工業","東S","1052","-8.0(-0.75%)"
"4099","四国化成ＨＬＤＧ","東P","1680","-15.0(-0.88%)"
"4100","戸田工業","東S","1986","-32.0(-1.59%)"
"4102","丸尾カルシウム","東S","1412","-15.0(-1.05%)"
"4107","伊勢化学工業","東S","17020","-1,180.0(-6.48%)"
"4109","ステラ　ケミファ","東P","3625","-60.0(-1.63%)"
"4112","保土谷化学工業","東P","4210","-70.0(-1.64%)"
"4113","田岡化学工業","東S","782","-3.0(-0.38%)"
"4114","日本触媒","東P","1500.0","-23.0(-1.51%)"
"4116","大日精化工業","東P","2819","-142.0(-4.80%)"
"4118","カネカ","東P","3962.0","-59.0(-1.47%)"
"4119","日本ピグメント","東S","2695","-9.0(-0.33%)"
"4120","スガイ化学工業","東S","2925","-35.0(-1.18%)"
"4124","大阪油化工業","東S","1525","+17.0(+1.13%)"
"4125","三和油化工業","東S","2396","-18.0(-0.75%)"
"4151","協和キリン","東P","2647.0","-22.5(-0.84%)"
"4165","プレイド","東G","640","-5.0(-0.78%)"
"4166","かっこ","東G","719","-8.0(-1.10%)"
"4167","ココペリ","東G","373","-14.0(-3.62%)"
"4168","ヤプリ","東G","825","-6.0(-0.72%)"
"4169","ＥＮＥＣＨＡＮＧＥ","東G","526","-18.0(-3.31%)"
"4170","Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ","東G","255","+3.0(+1.19%)"
"4171","グローバルインフォメーション","東S","1409","-10.0(-0.70%)"
"4172","東和ハイシステム","東S","1680","+12.0(+0.72%)"
"4173","ＷＡＣＵＬ","東G","501","-11.0(-2.15%)"
"4174","アピリッツ","東S","1186","-46.0(-3.73%)"
"4175","ｃｏｌｙ","東G","920","-13.0(-1.39%)"
"4176","ココナラ","東G","381","+3.0(+0.79%)"
"4177","Ｉ−ＰＬＵＧ","東G","1136","-13.0(-1.13%)"
"4178","Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔ","東G","798","-2.0(-0.25%)"
"4179","ジーネクスト","東G","388","+80.0(+25.97%)"
"4180","Ａｐｐｉｅｒ　Ｇｒｏｕｐ","東P","1322","+5.0(+0.38%)"
"4182","三菱瓦斯化学","東P","2763.0","-75.5(-2.66%)"
"4183","三井化学","東P","4475.0","-64.0(-1.41%)"
"4185","ＪＳＲ","東P","4337.0","-8.0(-0.18%)"
"4186","東京応化工業","東P","4142.0","-108.0(-2.54%)"
"4187","大阪有機化学工業","東P","3260","-5.0(-0.15%)"
"4188","三菱ケミカルグループ","東P","913.0","-14.1(-1.52%)"
"4189","ＫＨネオケム","東P","2418","+0.0(+0.00%)"
"4192","スパイダープラス","東G","608","-10.0(-1.62%)"
"4193","ファブリカＨＬＤＧ","東S","1750","-37.0(-2.07%)"
"4194","ビジョナル","東P","7830","-220.0(-2.73%)"
"4196","ネオマーケティング","東S","956","+16.0(+1.70%)"
"4197","アスマーク","東S","2434","+23.0(+0.95%)"
"4198","テンダ","東S","2321","-15.0(-0.64%)"
"4199","ワンダープラネット","東G","1195","+69.0(+6.13%)"
"4202","ダイセル","東P","1443.0","-23.0(-1.57%)"
"4203","住友ベークライト","東P","4413.0","-143.0(-3.14%)"
"4204","積水化学工業","東P","2253.5","-27.5(-1.21%)"
"4205","日本ゼオン","東P","1370.5","-2.5(-0.18%)"
"4206","アイカ工業","東P","3697.0","-42.0(-1.12%)"
"4208","ＵＢＥ","東P","2804.5","-53.5(-1.87%)"
"4212","積水樹脂","東P","2578","-122.0(-4.52%)"
"4215","タキロンシーアイ","東P","653","-22.0(-3.26%)"
"4216","旭有機材","東P","5170","-250.0(-4.61%)"
"4218","ニチバン","東P","1972","-10.0(-0.50%)"
"4220","リケンテクノス","東P","978","-16.0(-1.61%)"
"4221","大倉工業","東P","3060","-90.0(-2.86%)"
"4222","児玉化学工業","東S","271","+5.0(+1.88%)"
"4224","ロンシール工業","東S","1629","-34.0(-2.04%)"
"4228","積水化成品工業","東P","482","-18.0(-3.60%)"
"4229","群栄化学工業","東P","3575","-210.0(-5.55%)"
"4231","タイガースポリマー","東S","1044","-63.0(-5.69%)"
"4234","サンエー化研","東S","529","-19.0(-3.47%)"
"4235","ウルトラファブリックスＨＬＤＧ","東S","1148","-11.0(-0.95%)"
"4237","フジプレアム","東S","384","-15.0(-3.76%)"
"4238","ミライアル","東S","1488","-30.0(-1.98%)"
"4240","クラスターテクノロジー","東G","334","+0.0(+0.00%)"
"4241","アテクト","東S","779","-10.0(-1.27%)"
"4242","タカギセイコー","東S","2193","-14.0(-0.63%)"
"4243","ニックス","東S","810","-2.0(-0.25%)"
"4245","ダイキアクシス","東S","722","-8.0(-1.10%)"
"4246","ダイキョーニシカワ","東P","752","-9.0(-1.18%)"
"4247","ポバール興業","東S","1266","-16.0(-1.25%)"
"4248","竹本容器","東S","801","-3.0(-0.37%)"
"4249","森六ＨＬＤＧ","東P","2588","-83.0(-3.11%)"
"4251","恵和","東P","1099","-10.0(-0.90%)"
"4255","ＴＨＥＣＯＯ","東G","511","-6.0(-1.16%)"
"4256","サインド","東G","742","-10.0(-1.33%)"
"4258","網屋","東G","2065","+17.0(+0.83%)"
"4259","エクサウィザーズ","東G","435","-3.0(-0.68%)"
"4260","ハイブリッドテクノロジーズ","東G","491","-15.0(-2.96%)"
"4261","アジアクエスト","東G","3160","-410.0(-11.48%)"
"4262","ニフティライフスタイル","東G","985","-14.0(-1.40%)"
"4263","サスメド","東G","542","-3.0(-0.55%)"
"4264","セキュア","東G","1405","-30.0(-2.09%)"
"4265","Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ","東G","396","+6.0(+1.54%)"
"4267","ライトワークス","東G","1000","-4.0(-0.40%)"
"4268","エッジテクノロジー","東G","617","+0.0(+0.00%)"
"4270","ＢｅｅＸ","東G","2985","-195.0(-6.13%)"
"4272","日本化薬","東P","1294.5","-25.5(-1.93%)"
"4274","細谷火工","東S","1406","+0.0(+0.00%)"
"4275","カーリットＨＬＤＧ","東P","1103","-38.0(-3.33%)"
"4284","ソルクシーズ","東S","327","-4.0(-1.21%)"
"4286","ＣＬＨＬＤＧ","東S","1336","-75.0(-5.32%)"
"4287","ジャストプランニング","東S","343","-3.0(-0.87%)"
"4288","アズジェント","東S","595","-47.0(-7.32%)"
"4290","プレステージ・インターナショナ","東P","695","-11.0(-1.56%)"
"4293","セプテーニＨＬＤＧ","東S","453","-15.0(-3.21%)"
"4295","フェイス","東S","452","-5.0(-1.09%)"
"4298","プロトコーポレーション","東P","1395","-25.0(-1.76%)"
"4299","ハイマックス","東S","1384","-9.0(-0.65%)"
"4301","アミューズ","東P","1585","-12.0(-0.75%)"
"4304","Ｅストアー","東S","1330","-11.0(-0.82%)"
"4307","野村総合研究所","東P","3934.0","-47.0(-1.18%)"
"4308","Ｊストリーム","東G","375","-4.0(-1.06%)"
"4310","ドリームインキュベータ","東P","2298","-48.0(-2.05%)"
"4316","ビーマップ","東G","410","-3.0(-0.73%)"
"4317","レイ","東S","401","-18.0(-4.30%)"
"4318","クイック","東P","2340","-57.0(-2.38%)"
"4319","ＴＡＣ","東S","193","+1.0(+0.52%)"
"4320","ＣＥ　ＨＬＤＧ","東S","547","-3.0(-0.55%)"
"4323","日本システム技術","東P","1698","-75.0(-4.23%)"
"4324","電通グループ","東P","4236.0","+7.0(+0.17%)"
"4326","インテージＨＬＤＧ","東P","1463","-28.0(-1.88%)"
"4331","テイクアンドギヴ・ニーズ","東P","1032","-5.0(-0.48%)"
"4333","東邦システムサイエンス","東P","1281","-29.0(-2.21%)"
"4334","ユークス","東S","408","+2.0(+0.49%)"
"4335","アイ・ピー・エス","東S","1320","+32.0(+2.48%)"
"4337","ぴあ","東P","3050","-45.0(-1.45%)"
"4341","西菱電機","東S","858","-2.0(-0.23%)"
"4343","イオンファンタジー","東P","2158","-57.0(-2.57%)"
"4344","ソースネクスト","東P","188","+4.0(+2.17%)"
"4345","シーティーエス","東P","740","-7.0(-0.94%)"
"4346","ＮＥＸＹＺ．Ｇｒｏｕｐ","東S","633","-17.0(-2.62%)"
"4347","ブロードメディア","東S","1297","-4.0(-0.31%)"
"4348","インフォコム","東P","2719","-43.0(-1.56%)"
"4350","メディカルシステムネットワーク","東S","611","-15.0(-2.40%)"
"4351","山田債権回収管理総合事務所","東S","992","+3.0(+0.30%)"
"4356","応用技術","東S","1540","+4.0(+0.26%)"
"4360","マナック・ケミカル・パートナー","東S","592","-18.0(-2.95%)"
"4361","川口化学工業","東S","1428","-22.0(-1.52%)"
"4362","日本精化","東P","2333","-48.0(-2.02%)"
"4365","松本油脂製薬","東S","-","- (-%)"
"4366","ダイトーケミックス","東S","657","-24.0(-3.52%)"
"4367","広栄化学","東S","2251","-10.0(-0.44%)"
"4368","扶桑化学工業","東P","4185","-45.0(-1.06%)"
"4369","トリケミカル研究所","東P","4315","-185.0(-4.11%)"
"4370","モビルス","東G","428","+8.0(+1.90%)"
"4371","コアコンセプト・テクノロジー","東G","2330","-32.0(-1.35%)"
"4372","ユミルリンク","東G","1272","-4.0(-0.31%)"
"4373","シンプレクス・ＨＬＤＧ","東P","2762","-7.0(-0.25%)"
"4374","ＲＯＢＯＴ ＰＡＹＭＥＮＴ","東G","2420","-136.0(-5.32%)"
"4375","セーフィー","東G","580","-19.0(-3.17%)"
"4376","くふうカンパニー","東G","276","-6.0(-2.13%)"
"4377","ワンキャリア","東G","3445","+30.0(+0.88%)"
"4378","ＣＩＮＣ","東G","678","-4.0(-0.59%)"
"4379","Ｐｈｏｔｏｓｙｎｔｈ","東G","364","-6.0(-1.62%)"
"4380","Ｍマート","東G","1346","+0.0(+0.00%)"
"4381","ビープラッツ","東G","932","-14.0(-1.48%)"
"4382","ＨＥＲＯＺ","東S","1524","+6.0(+0.40%)"
"4384","ラクスル","東P","948","+12.0(+1.28%)"
"4385","メルカリ","東P","1768.5","+23.0(+1.32%)"
"4386","ＳＩＧグループ","東S","486","-2.0(-0.41%)"
"4387","ＺＵＵ","東G","995","-3.0(-0.30%)"
"4388","エーアイ","東G","828","-23.0(-2.70%)"
"4389","プロパティデータバンク","東G","1235","-20.0(-1.59%)"
"4390","ＩＰＳ","東P","2290","-60.0(-2.55%)"
"4391","ロジザード","東G","1285","-42.0(-3.17%)"
"4392","ＦＩＧ","東P","367","-14.0(-3.67%)"
"4393","バンク・オブ・イノベーション","東G","4080","+40.0(+0.99%)"
"4394","エクスモーション","東G","830","+10.0(+1.22%)"
"4395","アクリート","東G","725","+0.0(+0.00%)"
"4396","システムサポート","東P","1926","-60.0(-3.02%)"
"4397","チームスピリット","東G","427","+3.0(+0.71%)"
"4398","ブロードバンドセキュリティ","東S","1579","-5.0(-0.32%)"
"4401","ＡＤＥＫＡ","東P","3253.0","-74.0(-2.22%)"
"4403","日油","東P","2146.0","+24.5(+1.15%)"
"4404","ミヨシ油脂","東S","1258","-3.0(-0.24%)"
"4406","新日本理化","東S","177","-1.0(-0.56%)"
"4409","東邦化学工業","東S","511","-4.0(-0.78%)"
"4410","ハリマ化成グループ","東P","913","-14.0(-1.51%)"
"4412","サイエンスアーツ","東G","603","+10.0(+1.69%)"
"4413","ボードルア","東G","3405","-375.0(-9.92%)"
"4414","フレクト","東G","2879","-97.0(-3.26%)"
"4415","ブロードエンタープライズ","東G","860","-19.0(-2.16%)"
"4416","Ｔｒｕｅ　Ｄａｔａ","東G","454","+1.0(+0.22%)"
"4417","グローバルセキュリティエキスパ","東G","4620","-195.0(-4.05%)"
"4418","ＪＤＳＣ","東G","873","+1.0(+0.11%)"
"4419","ＦｉｎａｔｅｘｔＨＬＤＧ","東G","807","-41.0(-4.83%)"
"4420","イーソル","東S","791","-10.0(-1.25%)"
"4421","ディ・アイ・システム","東S","790","-4.0(-0.50%)"
"4422","ＶＡＬＵＥＮＥＸ","東G","955","+1.0(+0.10%)"
"4424","Ａｍａｚｉａ","東G","399","-5.0(-1.24%)"
"4425","Ｋｕｄａｎ","東G","1965","-20.0(-1.01%)"
"4427","ＥｄｕＬａｂ","東G","277","-5.0(-1.77%)"
"4428","シノプス","東G","1255","-44.0(-3.39%)"
"4429","リックソフト","東G","1880","+25.0(+1.35%)"
"4430","東海ソフト","東S","1345","-30.0(-2.18%)"
"4431","スマレジ","東G","2201","+22.0(+1.01%)"
"4432","ウイングアーク１ｓｔ","東P","2592","-99.0(-3.68%)"
"4433","ヒト・コミュニケーションズＨＤ","東P","1084","-138.0(-11.29%)"
"4434","サーバーワークス","東S","2366","-250.0(-9.56%)"
"4435","カオナビ","東G","1539","+1.0(+0.07%)"
"4436","ミンカブ・ジ・インフォノイド","東G","1366","-37.0(-2.64%)"
"4437","ｇｏｏｄｄａｙｓ　ＨＬＤＧ","東G","619","-21.0(-3.28%)"
"4438","Ｗｅｌｂｙ","東G","633","-37.0(-5.52%)"
"4439","東名","東S","2157","-157.0(-6.78%)"
"4440","ヴィッツ","東S","814","-15.0(-1.81%)"
"4441","トビラシステムズ","東S","773","-17.0(-2.15%)"
"4442","バルテス・ＨＬＤＧ","東G","473","+2.0(+0.42%)"
"4443","Ｓａｎｓａｎ","東P","1434","+23.0(+1.63%)"
"4444","インフォネット","東G","1116","-8.0(-0.71%)"
"4445","リビン・テクノロジーズ","東G","2000","+0.0(+0.00%)"
"4446","Ｌｉｎｋ−Ｕグループ","東P","618","-6.0(-0.96%)"
"4447","ピー・ビーシステムズ","東G","603","-13.0(-2.11%)"
"4448","Ｃｈａｔｗｏｒｋ","東G","447","-9.0(-1.97%)"
"4449","ギフティ","東P","1235","-18.0(-1.44%)"
"4450","パワーソリューションズ","東G","2933","+42.0(+1.45%)"
"4452","花王","東P","6231.0","-18.0(-0.29%)"
"4461","第一工業製薬","東P","3400","-85.0(-2.44%)"
"4462","石原ケミカル","東P","1736","-48.0(-2.69%)"
"4463","日華化学","東S","969","-20.0(-2.02%)"
"4464","ソフト９９コーポレーション","東S","1412","-37.0(-2.55%)"
"4465","ニイタカ","東S","1947","-26.0(-1.32%)"
"4471","三洋化成工業","東P","4165","-80.0(-1.88%)"
"4475","ＨＥＮＮＧＥ","東G","1058","-2.0(-0.19%)"
"4476","ＡＩ　ＣＲＯＳＳ","東G","976","-15.0(-1.51%)"
"4477","ＢＡＳＥ","東G","279","-12.0(-4.12%)"
"4478","フリー","東G","2903","+134.0(+4.84%)"
"4479","マクアケ","東G","704","-16.0(-2.22%)"
"4480","メドレー","東P","3960","-35.0(-0.88%)"
"4481","ベース","東P","3435","-10.0(-0.29%)"
"4482","ウィルズ","東G","704","-30.0(-4.09%)"
"4483","ＪＭＤＣ","東P","3098.0","-69.0(-2.18%)"
"4484","ランサーズ","東G","256","-11.0(-4.12%)"
"4485","ＪＴＯＷＥＲ","東G","3715","-5.0(-0.13%)"
"4486","ユナイトアンドグロウ","東G","1522","+14.0(+0.93%)"
"4487","スペースマーケット","東G","315","-3.0(-0.94%)"
"4488","ＡＩ　ｉｎｓｉｄｅ","東G","6520","+10.0(+0.15%)"
"4489","ペイロール","東G","1374","+0.0(+0.00%)"
"4490","ビザスク","東G","793","-18.0(-2.22%)"
"4491","コンピューターマネージメント","東S","-","- (-%)"
"4492","ゼネテック","東S","920","-39.0(-4.07%)"
"4493","サイバーセキュリティクラウド","東G","2741","-90.0(-3.18%)"
"4494","バリオセキュア","東S","689","-25.0(-3.50%)"
"4495","アイキューブドシステムズ","東G","1532","-9.0(-0.58%)"
"4496","コマースＯｎｅ　ＨＬＤＧ","東G","792","-27.0(-3.30%)"
"4498","サイバートラスト","東G","1664","-13.0(-0.78%)"
"4499","Ｓｐｅｅｅ","東S","1597","-50.0(-3.04%)"
"4502","武田薬品工業","東P","4114.0","+19.0(+0.46%)"
"4503","アステラス製薬","東P","1450.0","+4.0(+0.28%)"
"4506","住友ファーマ","東P","386","-6.0(-1.53%)"
"4507","塩野義製薬","東P","7190.0","-47.0(-0.65%)"
"4512","わかもと製薬","東S","233","-4.0(-1.69%)"
"4516","日本新薬","東P","4321.0","+41.0(+0.96%)"
"4519","中外製薬","東P","5112.0","+7.0(+0.14%)"
"4521","科研製薬","東P","3427.0","-1.0(-0.03%)"
"4523","エーザイ","東P","6044.0","+32.0(+0.53%)"
"4524","森下仁丹","東S","2435","+7.0(+0.29%)"
"4526","理研ビタミン","東P","2715","-35.0(-1.27%)"
"4527","ロート製薬","東P","2854.0","-116.5(-3.92%)"
"4528","小野薬品工業","東P","2360.0","+11.5(+0.49%)"
"4530","久光製薬","東P","3811.0","-14.0(-0.37%)"
"4531","有機合成薬品工業","東S","293","-7.0(-2.33%)"
"4534","持田製薬","東P","3135","-30.0(-0.95%)"
"4536","参天製薬","東P","1442.5","+2.0(+0.14%)"
"4538","扶桑薬品工業","東P","2204","-35.0(-1.56%)"
"4539","日本ケミファ","東S","1618","-7.0(-0.43%)"
"4540","ツムラ","東P","3894.0","-19.0(-0.49%)"
"4543","テルモ","東P","2644.0","+56.5(+2.18%)"
"4544","Ｈ．Ｕ．グループＨＬＤＧ","東P","2422.0","-3.5(-0.14%)"
"4547","キッセイ薬品工業","東P","3610","-45.0(-1.23%)"
"4548","生化学工業","東P","753","-3.0(-0.40%)"
"4549","栄研化学","東P","2003","+3.0(+0.15%)"
"4551","鳥居薬品","東P","3800","-95.0(-2.44%)"
"4552","ＪＣＲファーマ","東P","824","+0.0(+0.00%)"
"4553","東和薬品","東P","2754","-29.0(-1.04%)"
"4554","富士製薬工業","東P","1552","-44.0(-2.76%)"
"4556","カイノス","東S","1217","+7.0(+0.58%)"
"4558","中京医薬品","東S","205","-2.0(-0.97%)"
"4559","ゼリア新薬工業","東P","2060","-28.0(-1.34%)"
"4563","アンジェス","東G","51","-1.0(-1.92%)"
"4564","オンコセラピー・サイエンス","東G","19","-1.0(-5.00%)"
"4565","ネクセラファーマ","東P","1463","-50.0(-3.30%)"
"4568","第一三共","東P","4529.0","-32.0(-0.70%)"
"4569","杏林製薬","東P","1803","-25.0(-1.37%)"
"4570","免疫生物研究所","東G","458","-22.0(-4.58%)"
"4571","ＮＡＮＯ　ＭＲＮＡ","東G","179","-6.0(-3.24%)"
"4572","カルナバイオサイエンス","東G","446","-14.0(-3.04%)"
"4574","大幸薬品","東P","356","-2.0(-0.56%)"
"4575","キャンバス","東G","449","-1.0(-0.22%)"
"4576","デ・ウエスタン・セラピテクス","東G","113","-4.0(-3.42%)"
"4577","ダイト","東P","2424","+2.0(+0.08%)"
"4578","大塚ＨＬＤＧ","東P","6325.0","-21.0(-0.33%)"
"4579","ラクオリア創薬","東G","606","-2.0(-0.33%)"
"4582","シンバイオ製薬","東G","180","+0.0(+0.00%)"
"4583","カイオム・バイオサイエンス","東G","130","-2.0(-1.52%)"
"4584","キッズウェル・バイオ","東G","149","-7.0(-4.49%)"
"4586","メドレックス","東G","123","+0.0(+0.00%)"
"4587","ペプチドリーム","東P","1528.0","+4.5(+0.30%)"
"4588","オンコリスバイオファーマ","東G","711","-4.0(-0.56%)"
"4591","リボミック","東G","82","+0.0(+0.00%)"
"4592","サンバイオ","東G","412","-4.0(-0.96%)"
"4593","ヘリオス","東G","144","-4.0(-2.70%)"
"4594","ブライトパス・バイオ","東G","59","-1.0(-1.67%)"
"4595","ミズホメディー","東S","3325","-45.0(-1.34%)"
"4596","窪田製薬ＨＬＤＧ","東G","71","-2.0(-2.74%)"
"4597","ソレイジア・ファーマ","東G","27","-1.0(-3.57%)"
"4598","Ｄｅｌｔａ―Ｆｌｙ　Ｐｈａｒｍ","東G","816","-9.0(-1.09%)"
"4599","ステムリム","東G","421","-30.0(-6.65%)"
"4611","大日本塗料","東P","1170","-25.0(-2.09%)"
"4612","日本ペイントＨＬＤＧ","東P","1014.5","+0.5(+0.05%)"
"4613","関西ペイント","東P","2059.5","-24.5(-1.18%)"
"4615","神東塗料","東S","126","-1.0(-0.79%)"
"4616","川上塗料","東S","1779","-21.0(-1.17%)"
"4617","中国塗料","東P","2055","-98.0(-4.55%)"
"4619","日本特殊塗料","東S","1406","-36.0(-2.50%)"
"4620","藤倉化成","東S","468","-13.0(-2.70%)"
"4623","アサヒペン","東S","1838","-8.0(-0.43%)"
"4624","イサム塗料","東S","3415","+0.0(+0.00%)"
"4625","アトミクス","東S","704","-3.0(-0.42%)"
